TradeDate,StockCode,IndexWeight,ClosePrice,Volume,Amount,PE_TTM,PB,TotalMarketCap,AnnounceDate,ReportPeriod,ROE,Revenue_YoY,NetProfit_YoY,momentum_5_raw,momentum_20_raw,momentum_60_raw,reversal_5_raw,volatility_20_raw,downside_vol_20_raw,drawdown_20_raw,turnover_proxy_20_raw,illiq_20_raw,roe_raw,size_log_mcap_raw,ep_ttm_raw,bp_inv_raw,revenue_yoy_raw,netprofit_yoy_raw
20231229,002271.SZ,0.223,652.2186,305019.59,584190.917,17.1532,1.6711,48354512467.2,20231026,20230930.0,8.444,8.476,42.2208,-0.008264379870439265,-0.09391217200229551,-0.28035982306757234,0.008264379870439265,0.020804610868207226,0.011835220323196519,-0.06432744678854818,1.5607478267051137e-05,2.0068004006176802e-08,8.444,24.601825383698674,0.05829816011006693,0.5984082340973012,8.476,42.2208
20231229,002304.SZ,0.381,492.1392,37030.79,407299.575,15.7533,3.1762,165558313632.6,20231028,20230930.0,20.489,14.3508,12.474,0.028833473956552114,-0.05176879876132834,-0.15069560272770488,-0.028833473956552114,0.017278630121840142,0.010259961947909787,-0.04276632307418493,2.7173767036275492e-06,2.450279123971337e-08,20.489,25.8325893179367,0.06347876317977821,0.31484163465776716,14.3508,12.474
20231229,002311.SZ,0.215,316.4729,56274.88,252286.0,24.0721,3.8689,74719011152.7,20231020,20230930.0,12.1256,10.0962,7.1286,0.0705601860261833,0.032413715934362264,-0.007513748601305714,-0.0705601860261833,0.014111413876071231,0.005649902293953021,0.0,2.571515860481335e-06,5.706883627744508e-08,12.1256,25.037000396741686,0.04154186797163521,0.25847140013957454,10.0962,7.1286
20231229,002352.SZ,0.569,142.345,120902.16,485304.937,24.8255,2.1793,197766175869.2,20231031,20230930.0,7.078,-5.0896,40.0832,0.01840199351948768,-0.030709904810802935,-0.009804221644694078,-0.01840199351948768,0.012289244205630639,0.007223498069669261,-0.028846357210156603,1.9743042555370767e-06,2.4141353041820658e-08,7.078,26.010351239840173,0.04028116251435016,0.45886293764052677,-5.0896,40.0832
20231229,002371.SZ,0.375,1169.5177,46361.83,1139359.27,36.6847,5.7704,130261646366.34,20231031,20230930.0,13.6308,45.7044,71.0581,0.06367965927841146,0.05527404813149839,0.01827601470822815,-0.06367965927841146,0.02347213638193779,0.009668781006048717,0.0,9.596083496679383e-06,1.3645902407098851e-08,13.6308,25.5928109290631,0.02725932064321093,0.17329821156245667,45.7044,71.0581
20231229,002410.SZ,0.131,308.1851,199981.87,343933.205,48.3646,4.6465,28535863332.84,20231027,20230930.0,4.2012,7.0169,-59.0185,0.020845872313897562,-0.1325910746004928,-0.26626700648892276,-0.020845872313897562,0.02137373646213914,0.011678144916285235,-0.1232736303688573,9.918356677265375e-06,5.510643296138017e-08,4.2012,24.074427495702214,0.02067627975833564,0.21521575379317767,7.0169,-59.0185
20231229,002415.SZ,0.746,776.1881,332342.84,1141916.8,25.2142,4.5301,323958464324.32,20231021,20230930.0,12.6534,2.6015,0.1195,0.061773687170302294,-0.021971824242038585,0.027218940079608567,-0.061773687170302294,0.01781806069032877,0.008457201757001926,-0.0051575718961549555,2.2856601289546677e-06,1.639952283437623e-08,12.6534,26.503881147990988,0.03966019147940446,0.22074567890333546,2.6015,0.1195
20231229,002459.SZ,0.198,54.2884,984561.87,2050554.319,7.6279,1.9808,68712672048.72,20231031,20230930.0,21.5753,21.6072,105.6189,0.08652204630013238,0.05177668121644685,-0.18999255469464538,-0.08652204630013238,0.02905941428643766,0.009421729474310492,0.0,1.4019206280631308e-05,1.9661946846120174e-08,21.5753,24.95319947402265,0.1310976808820252,0.5048465266558967,21.6072,105.6189
20231229,002460.SZ,0.278,585.0682,373094.73,1602801.311,7.3673,1.7798,86334780941.2,20231031,20230930.0,12.987,-6.9887,-59.3788,0.0734889056386645,0.1036617491848475,-0.0403587885261284,-0.0734889056386645,0.02735037071110406,0.00894386838404484,0.0,1.4391752228044282e-05,1.4538353323479602e-08,12.987,25.181498377495952,0.1357349368153869,0.5618608832453085,-6.9887,-59.3788
20231229,002466.SZ,0.332,451.5729,369556.72,2080035.339,5.6376,1.7404,91563752115.57,20231027,20230930.0,16.0202,35.5158,-49.3254,0.0314291861727205,0.11312860660768753,0.015656351078322528,-0.0314291861727205,0.030570854972946013,0.010393842122573601,-0.01552837752784686,2.5012333296016844e-05,8.969143705085649e-09,16.0202,25.24030131104663,0.1773804455796793,0.5745805561939784,35.5158,-49.3254
20231229,002475.SZ,0.992,1173.979,802965.93,2760421.409,24.2926,4.7235,246254394352.2,20231021,20230930.0,15.0486,7.3132,15.2165,0.06491498624339265,0.09853316997896577,0.15526486446060273,-0.06491498624339265,0.01598862979833474,0.006210069455419423,0.0,6.089587297509292e-06,1.0016655518685822e-08,15.0486,26.229630961924464,0.04116479915694491,0.2117074203450831,7.3132,15.2165
